customer_id,contract_type,payment_method,contract_id
7590-VHVEG,Month-to-month,"Electronic check",1
5575-GNVDE,"One year","Mailed check",2
3668-QPYBK,Month-to-month,"Mailed check",3
7795-CFOCW,"One year","Bank transfer (automatic)",4
9237-HQITU,Month-to-month,"Electronic check",5
9305-CDSKC,Month-to-month,"Electronic check",6
1452-KIOVK,Month-to-month,"Credit card (automatic)",7
6713-OKOMC,Month-to-month,"Mailed check",8
7892-POOKP,Month-to-month,"Electronic check",9
6388-TABGU,"One year","Bank transfer (automatic)",10
